Artist,Track,Year,Chords
Kitty Wells,Jealousy,1950,"['A', 'B', 'C#m', 'B', 'A', 'B', 'C#m', 'B', 'A', 'B', 'C#m', 'B', 'A', 'B', 'C#m', 'B', 'A', 'B', 'C#m', 'B', 'E', 'A', 'E', 'A', 'C#m', 'B', 'A', 'A', 'B', 'C#m', 'B', 'A', 'B', 'C#m', 'B', 'A', 'B', 'C#m', 'B', 'A', 'B', 'C#m', 'B', 'A', 'B', 'C#m', 'B', 'A', 'B', 'C#m', 'B', 'E', 'A', 'E', 'A', 'C#m', 'B', 'A', 'A', 'B', 'C#m', 'B', 'E', 'A', 'E', 'A', 'C#m', 'B', 'A', 'A', 'B', 'C#m', 'B', 'A', 'B', 'C#m', 'B', 'A', 'B', 'C#m', 'B', 'A', 'B', 'C#m', 'B', 'A', 'B', 'C#m', 'B', 'A', 'B', 'C#m', 'B', 'E', 'A', 'E', 'A', 'C#m', 'B', 'A', 'A', 'B', 'C#m', 'B', 'A', 'B', 'C#m', 'B', 'A', 'B', 'C#m', 'B', 'A', 'B', 'C#m', 'B', 'A']"
Jim Reeves,Blue Boy,1950,"['G6', 'D7', 'Am', 'C', 'Dadd4add9', 'G6', 'D7', 'Am', 'C', 'Dadd4add9', 'G6', 'D7', 'Am', 'C', 'Dadd4add9', 'G6', 'D7', 'Am', 'C', 'Dadd4add9', 'G6', 'D7', 'Am', 'C', 'Dadd4add9', 'G6', 'Am', 'Em', 'G13/F', 'G6', 'Am', 'Em', 'G13/F', 'G6', 'Am', 'Em', 'G13/F', 'G6', 'Am', 'Em', 'G13/F', 'G6', 'D7', 'Am', 'C', 'Dadd4add9', 'G6', 'D7', 'Am', 'C', 'Dadd4add9', 'G6', 'D7', 'Am', 'C', 'Dadd4add9', 'G6', 'D7', 'Am', 'C', 'Dadd4add9', 'G6', 'Am', 'Em', 'G13/F', 'G6', 'Am', 'Em', 'G13/F', 'G6', 'Am', 'Em', 'G13/F', 'G6', 'Am', 'Em', 'G13/F', 'G6']"
The Ames Brothers,Stay,1950,"['C', 'Dm', 'Am', 'Am7/G', 'Am', 'Am7/G', 'Am', 'Am7/G', 'Am', 'Am7/G', 'C', 'Dm', 'Am', 'Am7/G', 'Am', 'Am7/G', 'Am', 'Am7/G', 'Am', 'Am7/G', 'C', 'Dm', 'Am', 'Am7/G', 'Am', 'Am7/G', 'Am', 'Am7/G', 'C', 'Dm', 'Am', 'Am7/G', 'Am', 'Am7/G', 'Am', 'Am7/G', 'C', 'Dm', 'Am', 'Am7/G', 'Am', 'Am7/G', 'Am', 'Am7/G', 'C', 'Dm', 'Am', 'Am7/G', 'Am', 'Am7/G', 'Am', 'Am7/G', 'F', 'Dm', 'Am', 'F', 'Dm', 'G', 'C', 'Dm', 'Am', 'F', 'C', 'Dm', 'Am', 'F', 'C', 'Dm', 'Am', 'Am7/G', 'Am', 'Am7/G', 'Am', 'Am7/G', 'C', 'Dm', 'Am', 'Am7/G', 'Am', 'Am7/G', 'Am', 'Am7/G', 'C', 'Dm', 'Am', 'Am7/G', 'Am', 'Am7/G', 'Am', 'Am7/G', 'F', 'Dm', 'Am', 'Am7/G', 'Am', 'Am7/G', 'F', 'Dm', 'G', 'C', 'Dm', 'Am', 'F', 'C', 'Dm', 'Am', 'F', 'C', 'Dm', 'Am', 'Am7/G', 'Am', 'Am7/G', 'Am', 'Am7/G', 'F', 'Am', 'Dm', 'Em', 'F', 'Am', 'Dm', 'Dm', 'F', 'Am', 'Dm', 'F', 'G', 'C', 'Dm', 'Am', 'F', 'C', 'Dm', 'Am', 'F', 'C', 'Dm', 'Am', 'F', 'C', 'Dm', 'Am', 'F', 'C', 'Dm', 'Am', 'F']"
The Everly Brothers,Bird Dog,1950,"['A', 'A', 'D', 'G', 'E', 'E', 'E', 'E', 'A', 'D', 'A', 'E', 'D', 'A', 'A', 'D', 'G', 'E', 'E', 'E', 'E', 'A', 'D', 'A', 'E', 'D', 'A', 'A', 'D', 'G', 'E', 'E', 'E', 'E', 'D', 'A', 'E', 'D', 'A', 'D', 'A', 'E', 'D', 'A', 'A', 'A', 'D', 'G', 'E', 'E', 'E', 'E', 'A', 'D', 'A', 'E', 'D', 'A', 'A', 'D', 'G', 'E', 'E', 'E', 'E', 'D', 'A', 'E', 'D', 'A', 'D', 'A', 'E', 'D', 'A', 'A', 'A', 'D', 'G', 'E', 'E', 'E', 'E', 'B', 'E', 'A', 'F#', 'B', 'B', 'E', 'B', 'F#', 'E', 'B', 'E', 'A', 'F#', 'B', 'B', 'E', 'B', 'F#', 'E', 'B', 'E', 'A', 'F#', 'E', 'B', 'F#', 'E', 'B7', 'E', 'B', 'F#', 'E', 'B', 'B', 'B', 'E', 'B', 'F#', 'E', 'B', 'E', 'A', 'F#', 'E', 'B', 'F#', 'E', 'B7', 'E', 'B', 'F#', 'E', 'B']"
Fats Domino,Little Mary,1950,"['G', 'D', 'Dm7', 'C', 'E', 'C', 'F', 'C', 'F', 'Dm7', 'C', 'Gm7', 'G', 'Dm7', 'C', 'C', 'F', 'C', 'F', 'Dm7', 'C', 'G', 'Dm7', 'C', 'C', 'Dm7', 'C', 'F', 'Dm7', 'C', 'Gm7', 'G', 'Dm7', 'C', 'C', 'Dm7', 'C', 'G', 'C', 'C', 'F', 'C', 'F', 'Dm7', 'C', 'Gm7', 'G', 'F', 'C']"
Frankie Vaughan,Judy,1950,"['D', 'G', 'D7', 'G', 'G7', 'C', 'A7', 'D7', 'G', 'D7', 'G', 'G', 'G7', 'C', 'D7', 'G', 'D7', 'G']"
Perez Prado And His Orchestra,Patricia,1951,"['Am', 'Am', 'C', 'Dm', 'Em', 'Am', 'C', 'Dm', 'Em', 'Am', 'G', 'F', 'G', 'Am', 'G', 'F', 'G', 'Am', 'G', 'F', 'G', 'Am', 'G', 'F', 'G', 'Am', 'G', 'F', 'G', 'Am', 'C', 'Dm', 'Em', 'Am', 'C', 'Dm', 'Em', 'Am', 'G', 'F', 'G', 'Am', 'G', 'F', 'G', 'D', 'F', 'C', 'D', 'Em', 'G', 'C', 'D', 'Em', 'C', 'D', 'Em', 'D', 'C', 'D', 'Em', 'D', 'C', 'C', 'D', 'Em', 'D', 'C', 'D', 'Em', 'D', 'C', 'D']"
Bobby Darin,Splish Splash,1951,"['C', 'G7', 'C', 'F', 'C', 'G7', 'C', 'C', 'F', 'C', 'G7', 'C', 'F', 'C', 'G7', 'C', 'C', 'F', 'C', 'F', 'C', 'G7', 'F', 'C']"
Kalin Twins,When,1951,"['G', 'C', 'G', 'Em', 'G', 'G', 'D', 'C', 'C', 'G', 'C', 'G', 'Em', 'G', 'D', 'C', 'C', 'D', 'Em', 'G', 'F', 'D#', 'G', 'C', 'G', 'C', 'G', 'C', 'G', 'D', 'C', 'Em', 'G', 'C', 'G', 'D', 'C', 'C', 'Em', 'G', 'C', 'D', 'C', 'C', 'D', 'Em', 'G', 'F', 'D#', 'G', 'D#', 'F', 'Csus2', 'F', 'D#', 'F', 'Csus2', 'F', 'D#', 'F', 'Csus2', 'F', 'D#', 'F', 'G', 'D', 'C', 'D', 'C', 'Em', 'G', 'C', 'G', 'D', 'C', 'C', 'Em', 'G', 'C', 'G']"
The Coasters,Yakety Yak,1951,"['G', 'C', 'D7', 'G', 'G', 'G', 'C', 'D7', 'G', 'G', 'G', 'C', 'D7', 'G', 'G', 'G', 'C', 'D7', 'G', 'G', 'C', 'D7', 'G', 'G', 'G']"
Jack Scott,My True Love,1951,"['G', 'Em', 'C', 'D7', 'D7', 'G', 'Em', 'C', 'D7', 'D7', 'G', 'Em', 'C', 'D7', 'G', 'D7', 'G', 'G', 'Em', 'C', 'D7', 'D7', 'G', 'Em', 'C', 'D7', 'D7', 'G', 'Em', 'C', 'D7', 'D7', 'G', 'D7', 'G', 'G7', 'C', 'D7', 'G', 'Em', 'C', 'D7', 'D7', 'G', 'Em', 'C', 'D7', 'D7', 'G', 'Em', 'C', 'D7', 'D7', 'G', 'D7', 'G', 'C', 'C', 'G']"
